Order_ID,Customer_ID,Order_Date,Product_Name,Category,Size,Color,Price,Quantity,Total_Amount,Rating,Feedback,Payment_Method,City,Delivery_Days
ORD44,CUST1034,2026-02-24,Joggers,Winter Wear,M,Yellow,2343,2,4686,2,Average,Net Banking,Pune,3
ORD45,CUST563,2026-02-26,Formal Shirt,Jackets,L,Grey,1612,2,3224,3,Value for money,UPI,Bangalore,3
ORD46,CUST474,2026-02-19,Polo T-Shirt,Jackets,M,White,2199,2,4398,3,Value for money,Net Banking,Chennai,2
ORD47,CUST424,2026-02-23,Denim Jacket,Bottomwear,S,Beige,2453,1,2453,3,Average,Net Banking,Chennai,6
ORD48,CUST1119,2026-03-19,Jeans,Winter Wear,M,Green,2285,2,4570,1,Not satisfied,Card,Pune,7
ORD49,CUST829,2026-01-22,Chinos,T-Shirts,S,Beige,2924,3,8772,1,Excellent,Net Banking,Bangalore,5
ORD50,CUST373,2026-01-07,Hoodie,Winter Wear,L,Grey,2362,2,4724,3,Not satisfied,Card,Chennai,4
ORD51,CUST168,2026-03-02,Casual Shirt,Jackets,S,Red,1418,3,85080,1,Excellent,UPI,Bangalore,3
ORD52,CUST42,2026-03-21,Polo T-Shirt,T-Shirts,M,Yellow,3242,1,3242,5,Good quality,Net Banking,Pune,4
ORD53,CUST756,2026-01-22,Blazer,Bottomwear,S,Blue,1774,1,1774,5,Excellent,Card,Delhi,7
ORD54,CUST769,2026-02-20,Jeans,Shirts,M,White,3355,2,6710,5,Excellent,UPI,Mumbai,6
ORD55,CUST878,2026-03-26,Track Pants,Shirts,L,Black,3979,2,7958,4,Excellent,Net Banking,Mumbai,7
ORD56,CUST942,2026-01-20,Denim Jacket,T-Shirts,L,Yellow,2404,2,4808,5,Average,Card,Bangalore,2
ORD57,CUST572,2026-02-27,Jeans,Winter Wear,XL,Red,617,2,1234,3,Good quality,Net Banking,Bangalore,4
ORD58,CUST530,2026-02-13,Hoodie,Bottomwear,L,Black,2616,1,2616,1,Good quality,Net Banking,Chennai,6
ORD59,CUST493,2026-03-30,Chinos,Jackets,XL,Yellow,3747,1,3747,1,Average,COD,Chennai,7
ORD60,CUST499,2026-02-09,Blazer,Jeans,XL,Red,2242,3,6726,5,Average,Card,Pune,5
ORD61,CUST555,2026-02-09,Hoodie,T-Shirts,S,Grey,1792,1,1792,5,Good quality,COD,Bangalore,7
ORD62,CUST992,2026-02-05,Blazer,Bottomwear,L,White,3910,1,3910,3,Good quality,Card,Bangalore,4
ORD63,CUST29,2026-03-10,Polo T-Shirt,Jeans,S,Black,2766,2,5532,2,Not satisfied,UPI,Hyderabad,6
ORD64,CUST583,2026-03-02,Chinos,Winter Wear,L,Blue,710,2,1420,4,Excellent,UPI,Chennai,5
ORD65,CUST152,2026-03-15,Casual Shirt,T-Shirts,M,Green,848,1,848,1,Value for money,Net Banking,Delhi,6
ORD66,CUST463,2026-03-08,Denim Jacket,Winter Wear,XL,Green,2910,2,5820,3,Value for money,UPI,Delhi,7
ORD67,CUST204,2026-01-27,Jeans,Jeans,S,Blue,1482,1,1482,5,Excellent,COD,Hyderabad,5
ORD68,CUST923,2026-03-30,Blazer,Winter Wear,L,Black,1448,2,2896,3,Not satisfied,UPI,Pune,3
ORD69,CUST542,2026-03-22,Blazer,Jackets,M,Beige,970,3,2910,2,Good quality,Card,Bangalore,2
ORD70,CUST123,2026-01-22,Hoodie,Bottomwear,L,Yellow,1009,2,2018,3,Not satisfied,Card,Delhi,6
ORD71,CUST1012,2026-02-26,Formal Shirt,Bottomwear,S,Beige,3508,2,7016,5,Average,UPI,Hyderabad,3
ORD72,CUST1179,2026-03-17,Casual Shirt,Jackets,L,Black,3625,1,3625,4,Value for money,Net Banking,Mumbai,3
ORD73,CUST1199,2026-02-25,Chinos,Shirts,XL,Red,2172,2,4344,3,Excellent,COD,Mumbai,5
ORD74,CUST1015,2026-02-06,Denim Jacket,Bottomwear,S,Yellow,860,2,1720,3,Average,UPI,Chennai,6
ORD75,CUST3,2026-03-26,Joggers,Winter Wear,XL,Black,1268,3,3804,3,Value for money,Net Banking,Pune,5
ORD76,CUST106,2026-01-27,Hoodie,Bottomwear,M,Green,2294,3,6882,4,Excellent,UPI,Pune,6
ORD77,CUST491,2026-01-21,Hoodie,Bottomwear,S,Beige,881,1,881,1,Not satisfied,UPI,Pune,3
ORD78,CUST1021,2026-02-07,Joggers,Jackets,L,Beige,3919,2,7838,4,Good quality,Net Banking,Delhi,3
ORD79,CUST786,2026-01-25,Blazer,Bottomwear,M,White,1631,2,3262,3,Value for money,Card,Hyderabad,4
ORD80,CUST612,2026-03-17,Blazer,Jackets,XL,Blue,2329,3,$6987,4,Average,Card,Delhi,6
ORD81,CUST773,2026-02-28,Track Pants,T-Shirts,M,Beige,1456,2,2912,1,Average,Net Banking,pune,5
ORD82,CUST791,2026-03-26,Polo T-Shirt,Winter Wear,S,Blue,2557,3,7671,3,Excellent,Net Banking,Hyderabad,6
ORD83,CUST936,2026-01-02,Polo T-Shirt,Winter Wear,M,White,2423,2,4846,3,Value for money,Net Banking,Pune,2
ORD84,CUST673,2026-03-28,Joggers,Winter Wear,L,Yellow,2716,1,2716,5,Excellent,COD,Pune,7
ORD85,CUST589,2026-01-30,Formal Shirt,Winter Wear,S,White,2317,1,$2317,3,Excellent,UPI,Mumbai,2
ORD86,CUST601,2026-02-15,Track Pants,Winter Wear,M,Grey,2675,2,5350,5,Good quality,COD,Bangalore,2
ORD87,CUST784,2026-03-21,Jeans,Winter Wear,M,Grey,2388,3,7164,3,Not satisfied,Card,Pune,2
ORD88,CUST953,2026-02-06,Joggers,T-Shirts,S,Yellow,1915,3,5745,3,Not satisfied,Card,Chennai,4
ORD89,CUST408,2026-02-19,Chinos,Shirts,M,Beige,2842,2,5684,5,Average,Card,Hyderabad,7
ORD90,CUST811,2026-02-05,Casual Shirt,Bottomwear,S,Yellow,3911,2,7822,2,Value for money,Card,Bangalore,7
ORD91,CUST390,2026-03-21,Hoodie,Jackets,M,White,3070,3,9210,1,Average,Net Banking,Hyderabad,6
ORD92,CUST748,2026-01-17,Formal Shirt,Jeans,L,Beige,1219,1,1219,2,Value for money,Card,Delhi,6
ORD93,CUST559,2026-01-22,Hoodie,Winter Wear,L,Red,3794,1,3794,4,Excellent,COD,Bangalore,7
ORD94,CUST814,2026/03/13,Track Pants,Shirts,XL,Black,1583,3,4749,1,Not satisfied,Card,Pune,7
ORD95,CUST537,2026-03-16,Denim Jacket,Jackets,L,White,3264,1,3264,4,Excellent,Card,Delhi,3
ORD96,CUST130,2026-03-23,Chinos,Jackets,L,Beige,977,1,977,1,Excellent,Card,Chennai,2
ORD97,CUST200,2026-01-31,Joggers,T-Shirts,XL,Yellow,2019,3,6057,5,Not satisfied,COD,Chennai,7
ORD98,CUST203,2026-03-04,Blazer,Winter Wear,L,Black,3327,2,6654,2,Not satisfied,Net Banking,Bangalore,4
ORD99,CUST204,2026-03-29,Track Pants,Bottomwear,L,Black,2130,2,4260,2,Excellent,Net Banking,Hyderabad,7
ORD100,CUST435,2026-03-24,Blazer,Shirts,S,Red,1497,1,1497,5,Good quality,UPI,Delhi,3
ORD101,CUST443,2026-01-30,Track Pants,T-Shirts,S,Green,1092,1,1092,5,Average,COD,Hyderabad,7
ORD102,CUST53,2026-01-17,Casual Shirt,Jeans,M,Red,564,1,564,3,Excellent,COD,Pune,5
ORD103,CUST1078,2026-01-15,Formal Shirt,Winter Wear,XL,Red,2602,3,7806,1,Not satisfied,COD,Delhi,2
ORD104,CUST1068,2026-02-08,Chinos,Jackets,S,Black,2461,2,4922,4,Excellent,Net Banking,Pune,5
ORD105,CUST151,2026-01-11,Track Pants,Bottomwear,M,White,1016,2,2032,5,Value for money,Card,Chennai,6
ORD106,CUST1087,2026-02-07,Chinos,Bottomwear,XL,White,3748,3,11244,1,Value for money,COD,Chennai,5
ORD107,CUST468,2026-02-22,Track Pants,Winter Wear,XL,Beige,3488,1,3488,3,Not satisfied,Card,Pune,4
ORD108,CUST767,2026-01-20,Chinos,Shirts,S,White,881,2,1762,1,Average,COD,Delhi,2
ORD109,CUST1151,2026-03-13,Track Pants,Jackets,S,Beige,1948,3,5844,4,Excellent,Card,Delhi,4
ORD110,CUST721,2026-01-14,Blazer,Bottomwear,M,Blue,3189,2,6378,2,Excellent,Card,Delhi,4
ORD111,CUST236,2026-02-05,Blazer,T-Shirts,XL,Black,2994,3,8982,3,Excellent,COD,Mumbai,7
ORD112,CUST633,2026-02-13,Track Pants,Shirts,M,Blue,2819,3,8457,4,Excellent,COD,Pune,7
ORD113,CUST63,2026-01-12,Joggers,T-Shirts,XL,Beige,2358,2,4716,2,Average,Card,Pune,4
ORD114,CUST1163,2026-03-18,Formal Shirt,Shirts,M,Blue,3590,3,10770,1,Excellent,Card,Chennai,7
ORD115,CUST869,2026-03-04,Blazer,Winter Wear,XL,Green,1382,3,4146,1,Average,Net Banking,Hyderabad,4
ORD116,CUST997,2026-03-09,Hoodie,Shirts,M,Beige,2954,1,2954,1,Good quality,Card,Bangalore,3
ORD117,CUST524,2026-02-07,Track Pants,Shirts,S,Yellow,3559,2,7118,2,Good quality,Net Banking,Delhi,7
ORD118,CUST472,2026-03-06,Joggers,Jackets,L,White,2126,3,6378,1,Not satisfied,UPI,Chennai,2
ORD119,CUST642,2026-03-15,Denim Jacket,Bottomwear,XL,Beige,1685,1,1685,4,Excellent,Card,Bangalore,6
ORD120,CUST943,2026-03-30,Track Pants,Shirts,XL,White,1496,2,2992,5,Not satisfied,UPI,Chennai,4
ORD121,CUST696,2026-01-29,Track Pants,T-Shirts,S,White,2673,3,8019,2,Average,Card,Pune,7
ORD122,CUST303,2026-01-31,Formal Shirt,T-Shirts,L,Grey,1210,3,3630,2,Excellent,COD,Pune,5
ORD123,CUST951,2026-03-14,Blazer,Winter Wear,L,Red,1118,2,2236,1,Not satisfied,Net Banking,Pune,4
ORD124,CUST563,2026-03-17,Casual Shirt,Jeans,S,Green,2391,2,4782,1,Excellent,Card,Mumbai,2
ORD125,CUST185,2026-03-20,Blazer,Bottomwear,XL,Yellow,2877,3,8631,1,Not satisfied,COD,Mumbai,6
ORD126,CUST975,2026-03-06,Polo T-Shirt,Shirts,XL,White,3821,2,7642,1,Value for money,COD,Hyderabad,3
ORD127,CUST897,2026-02-26,Joggers,Bottomwear,M,Red,2027,2,4054,4,Not satisfied,Card,Pune,6
ORD128,CUST108,2026-03-22,Track Pants,Shirts,L,White,2785,3,8355,4,Average,Card,Pune,7
ORD129,CUST308,2026-02-12,Formal Shirt,Bottomwear,M,Red,1770,3,5310,4,Good quality,UPI,Mumbai,6
ORD130,CUST772,2026-03-24,Track Pants,T-Shirts,S,Beige,2582,2,5164,1,Average,Card,Bangalore,3
ORD131,CUST700,2026-03-04,Jeans,T-Shirts,M,Blue,816,2,1632,1,Value for money,UPI,Pune,4
ORD132,CUST269,2026-03-18,Denim Jacket,T-Shirts,M,Blue,3905,3,11715,5,Good quality,Net Banking,Hyderabad,5
ORD133,CUST747,2026-03-28,Jeans,Winter Wear,L,Yellow,1458,3,4374,2,Average,Net Banking,Bangalore,4
ORD134,CUST1169,2026-02-26,Chinos,Jeans,XL,Beige,1163,1,1163,5,Good quality,Card,Hyderabad,7
ORD135,CUST985,2026-02-17,Joggers,Shirts,S,Green,843,1,843,3,Not satisfied,COD,Chennai,2
ORD136,CUST455,2026-02-27,Track Pants,Shirts,XL,Black,2123,3,6369,3,Good quality,Net Banking,Hyderabad,4
ORD137,CUST460,2026-01-04,Track Pants,Shirts,L,Blue,1063,1,1063,3,Not satisfied,COD,Pune,5
ORD138,CUST919,2026-03-20,Casual Shirt,Shirts,S,Green,1383,1,1383,5,Value for money,Net Banking,Hyderabad,4
ORD139,CUST487,2026-02-08,Formal Shirt,Shirts,M,Beige,3117,3,9351,4,Excellent,UPI,Chennai,6
ORD140,CUST1098,2026-01-03,Joggers,Bottomwear,M,Blue,1693,2,3386,1,Value for money,Card,Bangalore,6
ORD141,CUST854,2026-01-24,Formal Shirt,Bottomwear,L,White,2654,3,7962,5,Value for money,UPI,Chennai,5
ORD142,CUST90,2026-03-23,Denim Jacket,Jeans,L,Black,1962,1,1962,3,Good quality,UPI,Delhi,7
ORD143,CUST681,2026-01-18,Casual Shirt,Jeans,L,Blue,3901,3,11703,4,Not satisfied,COD,Bangalore,2
ORD144,CUST938,2026-01-05,Hoodie,T-Shirts,S,Grey,671,2,1342,3,Value for money,Net Banking,Delhi,5
ORD145,CUST519,2026-01-05,Jeans,Jeans,L,Black,3185,2,6370,3,Excellent,Card,Chennai,5
ORD146,CUST901,2026-02-19,Track Pants,T-Shirts,XL,Yellow,2004,3,6012,3,Excellent,Net Banking,Hyderabad,5
ORD147,CUST370,2026-03-11,Hoodie,Jeans,S,White,1843,3,5529,3,Average,Net Banking,Delhi,7
ORD148,CUST873,2026-01-22,Chinos,Jeans,XL,Black,3477,2,6954,5,Not satisfied,Card,Pune,2
ORD149,CUST154,2026-03-27,Denim Jacket,Jeans,M,Black,1084,3,3252,4,Excellent,COD,Hyderabad,3
ORD150,CUST751,2026-02-16,Denim Jacket,Bottomwear,S,Blue,3281,2,6562,3,Average,Net Banking,Hyderabad,6
ORD151,CUST282,2026-03-09,Track Pants,Winter Wear,L,Green,1522,1,1522,1,Good quality,Net Banking,Delhi,5
ORD152,CUST1151,2026-01-16,Hoodie,Jeans,XL,Grey,3006,2,6012,4,Good quality,UPI,Bangalore,2
ORD153,CUST926,2026-01-23,Chinos,Shirts,L,Red,3406,1,3406,5,Value for money,Card,Mumbai,3
ORD154,CUST357,2026-02-16,Joggers,T-Shirts,S,Grey,3744,1,3744,2,Not satisfied,UPI,Mumbai,6
ORD155,CUST1173,2026-02-17,Chinos,Bottomwear,M,White,769,2,1538,4,Not satisfied,Net Banking,Chennai,6
ORD156,CUST152,2026-01-17,Track Pants,Jackets,S,Yellow,2408,3,7224,5,Average,COD,Delhi,7
ORD157,CUST373,2026-01-17,Denim Jacket,Bottomwear,S,White,2622,1,$2622,3,Good quality,COD,Mumbai,7
ORD158,CUST462,2026-02-14,Joggers,Jeans,S,Green,1304,3,78240,5,Average,COD,Pune,4
ORD159,CUST1093,2026-01-12,Joggers,Jackets,M,Blue,1201,3,3603,5,Value for money,Card,Delhi,2
ORD160,CUST59,2026-01-11,Casual Shirt,Jackets,L,Grey,3641,3,10923,4,Value for money,UPI,Chennai,7
ORD161,CUST1118,2026-02-07,Hoodie,Winter Wear,M,Beige,1718,2,3436,1,Excellent,COD,Chennai,5
ORD162,CUST992,2026-03-01,Jeans,Jeans,M,Red,3442,2,6884,3,Not satisfied,COD,Mumbai,6
ORD163,CUST1151,2026-01-14,Track Pants,T-Shirts,XL,White,1595,2,3190,2,Good quality,UPI,Hyderabad,4
ORD164,CUST787,2026-03-20,Denim Jacket,T-Shirts,M,Red,2866,3,8598,3,Good quality,COD,Chennai,6
ORD165,CUST957,2026-03-05,Hoodie,Winter Wear,S,White,2110,3,6330,4,Good quality,COD,Delhi,4
ORD166,CUST100,2026-01-07,Hoodie,Winter Wear,XL,Green,2698,1,2698,1,Not satisfied,COD,Mumbai,7
ORD167,CUST750,2026-02-21,Track Pants,Shirts,XL,Black,2835,3,8505,2,Average,Card,Hyderabad,5
ORD168,CUST1033,2026-02-27,Joggers,Jeans,S,Blue,896,2,35840,3,Average,Card,Bangalore,3
ORD169,CUST1043,2026-02-21,Joggers,Shirts,S,Black,1061,3,3183,3,Not satisfied,Net Banking,Bangalore,6
ORD170,CUST1056,2026-01-18,Track Pants,Bottomwear,L,Blue,2109,3,6327,3,Value for money,Card,Delhi,6
ORD171,CUST1091,2026-03-04,Blazer,Jeans,XL,Black,2008,2,4016,1,Not satisfied,Card,Pune,7
ORD172,CUST55,2026-03-18,Chinos,Jeans,M,Black,2890,2,5780,2,Value for money,Net Banking,Bangalore,7
ORD173,CUST497,2026-01-05,Blazer,Jackets,S,Grey,577,2,1154,3,Not satisfied,COD,Chennai,7
ORD174,CUST418,2026-02-22,Joggers,Bottomwear,XL,Black,3390,1,3390,5,Good quality,Card,Pune,5
ORD175,CUST1077,2026-02-18,Track Pants,T-Shirts,XL,Red,2737,2,5474,3,Value for money,Net Banking,Bangalore,3
ORD176,CUST572,2026-03-13,Hoodie,T-Shirts,L,Green,3387,1,3387,4,Average,Net Banking,Mumbai,6
ORD177,CUST561,2026-02-06,Formal Shirt,Bottomwear,XL,Beige,3852,2,7704,2,Average,UPI,Mumbai,7
ORD178,CUST162,2026-02-14,Chinos,Jackets,L,Yellow,one thousand,1,1376,5,Average,Card,Bangalore,2
ORD179,CUST491,2026-02-01,Casual Shirt,Jackets,M,Grey,715,1,715,4,Average,Net Banking,Hyderabad,7
ORD180,CUST282,2026-01-01,Joggers,T-Shirts,XL,Yellow,2455,3,7365,2,Average,Card,Mumbai,7
ORD181,CUST122,2026-01-12,Blazer,T-Shirts,S,Blue,2211,1,2211,1,Not satisfied,Net Banking,Bangalore,7
ORD182,CUST593,2026-01-05,Casual Shirt,Jeans,S,Red,1665,2,3330,5,Value for money,Net Banking,Bangalore,6
ORD183,CUST959,2026-02-04,Jeans,Shirts,L,Blue,3494,2,6988,3,Good quality,UPI,Pune,4
ORD184,CUST605,2026-03-14,Jeans,T-Shirts,XL,Beige,2610,2,5220,1,Not satisfied,UPI,Bangalore,3
ORD185,CUST978,2026-02-11,Jeans,Shirts,L,Beige,1464,2,2928,3,Average,Card,Delhi,7
ORD186,CUST1174,2026-01-02,Hoodie,Jackets,L,Grey,754,3,2262,1,Not satisfied,Card,Bangalore,5
ORD187,CUST1030,2026-02-09,Formal Shirt,Jackets,L,Red,3017,1,3017,2,Good quality,Net Banking,Bangalore,5
ORD188,CUST766,2026-02-23,Joggers,Winter Wear,M,Grey,3286,3,9858,1,Value for money,Net Banking,Delhi,7
ORD189,CUST741,2026-01-10,Blazer,Shirts,S,Grey,2845,3,8535,2,Good quality,Card,Delhi,5
ORD190,CUST239,2026-03-29,Jeans,Jackets,XL,White,2590,2,5180,1,Not satisfied,COD,Delhi,5
ORD191,CUST936,2026-03-14,Casual Shirt,Bottomwear,XL,Green,3462,1,3462,4,Average,UPI,Pune,3
ORD192,CUST1185,2026-01-10,Casual Shirt,Winter Wear,L,White,2716,1,2716,1,Not satisfied,UPI,Mumbai,5
ORD193,CUST369,2026-01-18,Denim Jacket,Jeans,XL,Yellow,2046,2,4092,1,Value for money,COD,Pune,4
ORD194,CUST243,2026-01-23,Joggers,Winter Wear,M,Grey,3919,1,3919,1,Average,Net Banking,Pune,7
ORD195,CUST1116,2026-02-24,Joggers,Winter Wear,M,Grey,2386,2,4772,2,Average,COD,Pune,2
ORD196,CUST66,2026-03-26,Denim Jacket,Bottomwear,S,Grey,1344,1,1344,1,Value for money,UPI,Chennai,6
ORD197,CUST100,2026-02-01,Casual Shirt,Winter Wear,XL,Grey,2710,1,2710,1,Good quality,Card,Bangalore,7
ORD198,CUST1180,2026-02-10,Blazer,Bottomwear,L,Grey,1736,1,1736,5,Good quality,Net Banking,Mumbai,4
ORD199,CUST125,2026-03-13,Blazer,Jackets,M,Beige,2776,2,5552,1,Average,Net Banking,Delhi,4
ORD200,CUST853,2026-02-22,Polo T-Shirt,Jeans,XL,Blue,3590,3,10770,4,Good quality,COD,Mumbai,7
ORD201,CUST296,2026-03-01,Casual Shirt,Bottomwear,XL,Beige,2782,3,8346,2,Not satisfied,COD,Mumbai,3
ORD202,CUST677,2026-03-24,Formal Shirt,Winter Wear,L,White,2693,3,8079,2,Excellent,Card,Chennai,7
ORD203,CUST81,2026-01-10,Jeans,Bottomwear,M,Yellow,1355,2,2710,3,Excellent,COD,Bangalore,7
ORD204,CUST241,2026-03-03,Jeans,Jackets,M,Beige,1480,3,4440,3,Average,Net Banking,Chennai,6
ORD205,CUST736,2026-02-09,Hoodie,Jeans,XL,Yellow,903,3,2709,4,Average,COD,Mumbai,4
ORD206,CUST848,2026-01-06,Blazer,T-Shirts,M,Black,1568,3,4704,5,Value for money,Net Banking,Mumbai,3
ORD207,CUST402,2026-02-12,Jeans,Winter Wear,M,Yellow,2755,3,8265,3,Average,Net Banking,Pune,7
ORD208,CUST1005,2026-02-28,Polo T-Shirt,Jackets,L,Blue,1073,3,3219,5,Not satisfied,COD,Delhi,7
ORD209,CUST121,2026-03-09,Casual Shirt,Shirts,S,Black,2189,1,2189,2,Excellent,COD,Hyderabad,3
ORD210,CUST1036,2026-02-28,Track Pants,Shirts,XL,Yellow,564,1,564,5,Value for money,Net Banking,Hyderabad,2
ORD211,CUST1085,2026-02-05,Joggers,Jeans,S,Beige,3802,1,3802,1,Excellent,COD,Bangalore,3
ORD212,CUST1079,2026-02-02,Track Pants,Jeans,XL,White,2028,2,4056,4,Value for money,COD,Pune,3
ORD213,CUST615,2026-03-29,Formal Shirt,Jackets,S,White,2160,2,4320,4,Value for money,Net Banking,Hyderabad,7
ORD214,CUST20,2026-03-31,Polo T-Shirt,Shirts,XL,Beige,3141,2,6282,5,Excellent,UPI,Bangalore,3
ORD215,CUST1161,2026-03-02,Hoodie,Shirts,S,Green,2724,3,8172,1,Good quality,Card,Hyderabad,3
ORD216,CUST296,2026-02-20,Formal Shirt,Jeans,M,Grey,2821,2,5642,5,Average,Net Banking,Pune,3
ORD217,CUST161,2026-03-06,Track Pants,Shirts,S,Beige,1450,1,1450,3,Value for money,Net Banking,Mumbai,2
ORD218,CUST560,2026-02-27,Chinos,T-Shirts,L,Beige,2268,1,2268,5,Not satisfied,UPI,Delhi,4
ORD219,CUST505,2026-01-10,Formal Shirt,Jeans,M,Beige,3415,3,10245,2,Not satisfied,Card,Mumbai,2
ORD220,CUST188,2026-01-01,Hoodie,Winter Wear,L,Green,918,1,918,1,Good quality,Net Banking,Chennai,6
ORD221,CUST1137,2026-03-07,Denim Jacket,Shirts,S,White,1949,3,5847,1,Value for money,Card,Chennai,2
ORD222,CUST598,2026-02-22,Denim Jacket,Shirts,M,Blue,3307,2,$6614,2,Good quality,Card,Mumbai,4
ORD223,CUST1010,2026-01-19,Formal Shirt,T-Shirts,XL,Green,2224,2,4448,4,Excellent,Card,Mumbai,3
ORD224,CUST1016,2026-03-18,Blazer,T-Shirts,XL,White,1054,2,2108,1,Not satisfied,Card,Delhi,5
